entity_text_1	entity_text_2	label
results involving automatic extraction of translation	lexicons from printed text	USAGE
application of ambiguity packing and stochastic disambiguation techniques for lexical-functional	techniques for lexical-functional grammars (lfg) to the	USAGE
incorporates a linguistic parser/generator for lfg	parser/generator for lfg a transfer	USAGE
lfg a transfer component for parse	component for parse reduction operating on	USAGE
and a maximum-entropy model for stochastic	model for stochastic output selection furthermore, parser	USAGE
systems an experimental evaluation of summarization	evaluation of summarization quality shows	TOPIC
with guaranteed grammaticality of the	of the system output due to	MODEL-FEATURE
use of priors in conditional	priors in conditional loglinear models and unknown	USAGE
the resulting tagger gives a	a 97.24% accuracy on the	RESULT
sources of training data suitable for	suitable for language modeling of conversational	USAGE
supplemented with text from the	from the web filtered to	PART_WHOLE
boost the translation quality of ebmt	quality of ebmt based on	RESULT
by identifying hubs in an	in an automaton for hub	PART_WHOLE
present a syntax-based constraint for word	constraint for word alignment known cohesion	USAGE
a novel bootstrapping approach to named	approach to named entity (ne) tagging using concept-based	USAGE
or pronoun seeds that correspond	to the concept for the	MODEL-FEATURE
learners first, decision list is used	learn the parsing-based ne rules then, hidden	USAGE
then, a hidden markov model is trained	on a corpus automatically tagged	USAGE
describe a phrase-based unigram model for statistical	model for statistical machine translation that uses	USAGE
training the blocks are learned	learned from source interval projections using an	PART_WHOLE
results on block selection criteria based on	based on unigram counts and	USAGE
a novel cooperative model for natural	model for natural language understanding in a	USAGE
the javelin system integrates a	a flexible, planning-based architecture with a	PART_WHOLE
on how javelin processes questions	javelin processes questions and retrieves	USAGE
most likely answer candidates from the	the given text corpus the repository	PART_WHOLE
browsing the repository of data	repository of data objects created by	PART_WHOLE
customizable : ie paradigm that takes	advantage of predicate-argument structures we predicate	USAGE
proposes the hierarchical directed acyclic graph (hdag) kernel for structured	kernel for structured natural language data the hdag	USAGE
of common attribute sequences of the	of the hdags we question	MODEL-FEATURE
that the hdag kernel is superior	to other kernel functions and baseline	COMPARE
in inducing semantic verb classes from undisambiguated	from undisambiguated corpus data we subcategorization	MODEL-FEATURE
involves clustering subcategorization frame (scf) distributions using	using the information bottleneck and nearest	USAGE
effect of polysemy on the	on the clusters offering semantically	MODEL-FEATURE
apply a decision tree based approach to pronoun	approach to pronoun resolution in spoken	USAGE
deals with pronouns with np-	pronouns with np- and non-np-antecedents we features	MODEL-FEATURE
designed for pronoun resolution in spoken	resolution in spoken dialogue and determine	USAGE
for the topic detection and tracking tasks of new	tasks of new event detection in story	PART_WHOLE
concerns the discourse understanding process in spoken	process in spoken dialogue systems this user	USAGE
on the context of a	of a dialogue since candidates	MODEL-FEATURE
since multiple candidates for the	for the understanding result can	USAGE
to the ambiguity of speech	ambiguity of speech understanding it understanding	MODEL-FEATURE
holding multiple candidates for understanding	candidates for understanding results and	USAGE
based on statistical information obtained from	obtained from dialogue corpora unlike hand-crafted	MODEL-FEATURE
holding multiple candidates for understanding	candidates for understanding results is	USAGE
address appropriate user modeling in order	to generate cooperative responses to each	USAGE
moreover, the models are automatically	derived by decision tree learning using real	MODEL-FEATURE
all dimensions. dialogue strategies based on	on the user modeling are implemented	USAGE
presents an unsupervised learning approach to building	building a non-english (arabic) stemmer the stemming	USAGE
stemmer the stemming model is based	based on statistical machine translation and it	USAGE
to any language that needs	that needs affix removal our resource-frugal	MODEL-FEATURE
removal our resource-frugal approach results in	in 87.5% agreement with a	RESULT
unsupervised component task-based evaluation using arabic	evaluation using arabic information retrieval indicates an	USAGE
a small manually segmented arabic corpus and uses	bootstrap an unsupervised algorithm to build	USAGE
build the arabic word segmenter from a	a large unsegmented arabic corpus the trigram	USAGE
most probable morpheme sequence for a	a given input the language	MODEL-FEATURE
input the language model is initially	a small manually segmented corpus of about	MODEL-FEATURE
acquiring new stems from a	million word unsegmented corpus and model	PART_WHOLE
re-estimate the model parameters with the	the expanded vocabulary and training	USAGE
the resulting arabic word segmentation system achieves around	around 97% exact match accuracy on a	RESULT
on a test corpus containing 28,449	containing 28,449 word tokens we highly	PART_WHOLE
a small manually segmented corpus of the	of the language of interest.	MODEL-FEATURE
problem of word sense disambiguation (wsd) is the	lack of manually sense-tagged data required for	USAGE
automatically acquire sense-tagged training data from english-chinese	data from english-chinese parallel corpora which nouns	MODEL-FEATURE
issue of domain dependence in evaluating	in evaluating wsd programs	MODEL-FEATURE
a large, semantically annotated corpus resource as	the large-scale acquisition of word-semantic information e.g. domain-independent	USAGE
vagueness and ambiguity in semantic	ambiguity in semantic annotation	MODEL-FEATURE
nods and attentional focus in the	of a direction-giving task the nonverbal	MODEL-FEATURE
present an eca that uses	that uses verbal and nonverbal grounding acts to update	USAGE
approximation of hpsg produces a	that of ltag we	COMPARE
number of analogies among the	among the sentences that it	MODEL-FEATURE
criterionsm online essay evaluation service includes a	in student writing with essay-based	USAGE
aspects of coherence in essays	coherence in essays this features	MODEL-FEATURE
system identifies features of sentences	features of sentences based on	MODEL-FEATURE
structure a support vector machine uses these	uses these features to capture	USAGE
discourse elements intra-sentential quality is evaluated	evaluated with rule-based heuristics results baseline	TOPIC
use the information redundancy in multilingual	redundancy in multilingual input to correct	MODEL-FEATURE
the input documents are in	are in arabic and summary	MODEL-FEATURE
the output summary is in	is in english typically, summary	MODEL-FEATURE
realize that information in english	information in english we machine	MODEL-FEATURE
presents a maximum entropy word alignment algorithm for arabic-english	based on supervised training data we training	USAGE
mixture of supervised and unsupervised methods yields superior	yields superior performance the probabilistic	RESULT
performance the probabilistic model used in	in the alignment directly models	USAGE
presents a phrase-based statistical machine translation method based non-contiguous	based on non-contiguous phrases i.e. phrases	USAGE
producing such phrases from a	from a word-aligned corpora is proposed.	PART_WHOLE
proposed. a statistical translation model is also	deals such phrases as training	USAGE
as a training method based on	maximization of translation accuracy as nist	USAGE
evaluation metric translations are produced	of a beam-search decoder experimental training	USAGE
in the automatic evaluation of machine	evaluation of machine translation and document	USAGE
indicate that rankings produced by	highly with official rankings and pourpre	COMPARE
identifying systematic patterns in translation	patterns in translation data using part-of-speech	PART_WHOLE
to explore patterns in machine	patterns in machine translation output	PART_WHOLE
the right translation of the	of the words in source	MODEL-FEATURE
the wsd accuracy of smt	accuracy of smt models has never	RESULT
contrary, current smt models do have	with dedicated wsd models and smt	COMPARE
shown, that smt gives competitive	results to rule-based translation systems requiring translation	COMPARE
on harvesting english-chinese bitexts of the	from the web and aligning	PART_WHOLE
and harvesting english-chinese bitexts in a	from the web	PART_WHOLE
task of machine translation (mt) evaluation is closely	task of sentence-level semantic equivalence classification this mt	COMPARE
applying standard mt evaluation methods (bleu, nist, wer and per) to building	to building classifiers to predict	USAGE
a novel classification method based on	based on per which leverages	USAGE
which leverages part of speech information of the	of the words contributing to	MODEL-FEATURE
show that mt evaluation techniques are able	produce useful features for paraphrase	RESULT
entailment our technique gives a	improvement in paraphrase classification accuracy over all	RESULT
automatically generates paraphrase sets from	sets from seed sentences to be	PART_WHOLE
of internal lexical and syntactical variation in a	set of paraphrases : slightly	MODEL-FEATURE
adequate as reference sets to be	used for mt evaluation	USAGE
proposes an annotating scheme that encodes	that encodes honorifics (respectful words).	MODEL-FEATURE
referents this referential information is vital	and improving machine translation outputs annotating honorifics	RESULT
honorifics assigning ranks to referents	ranks to referents of the	MODEL-FEATURE
set of candidate parses for each	each input sentence with probabilities	MODEL-FEATURE
using additional features of the	of the tree as evidence.	MODEL-FEATURE
or a generative model which takes	takes these features into account	USAGE
on the boosting approach to ranking	approach to ranking problems described in	USAGE
method to parsing the wall	parsing the wall street journal treebank the log-likelihood	USAGE
the new model achieved 89.75%	achieved 89.75% f-measure a f-measure	RESULT
of the sparsity of the feature space in the	in the parsing data experiments implementation	MODEL-FEATURE
work on feature selection methods within log-linear	methods within log-linear (maximum-entropy) models although natural	PART_WHOLE
method for discovering parallel sentences in comparable,	sentences in comparable, non-parallel corpora we maximum	USAGE
we extract parallel data from large	from large chinese, arabic, and english non-parallel newspaper corpora we quality	PART_WHOLE
a good-quality mt system can be	very small parallel corpus (100,000 words	USAGE
looking up phrase translations in our	in our suffix array-based data structure we sampling	PART_WHOLE
that combines syntactic information in the	in the source language with recent	MODEL-FEATURE
project the source dependency parse onto the	the target sentence extract dependency	MODEL-FEATURE
a state-of-the-art chinese word sense disambiguation model to choose	to choose translation candidates for a	USAGE
find that word sense disambiguation does not	significantly better translation quality than the	RESULT
at applying statistical models to structured	models to structured data in syntax-based	USAGE
present a syntax-based statistical machine translation system based on	on a probabilistic synchronous dependency insertion grammar synchronous dependency	USAGE
such a grammar from parallel	grammar from parallel corpora second, graphical	PART_WHOLE
describe the graphical model for the	for the machine translation task which stochastic	USAGE
outperforms the baseline system based on	on the ibm models in both	USAGE
for a localized phrase-based prediction model for statistical	model for statistical machine translation (smt) the model	USAGE
train a log-linear block bigram model which uses	which uses real-valued features (e.g. a	USAGE
has used monolingual parallel corpora to extract	and generate paraphrases we bilingual	PART_WHOLE
that allows paraphrases extracted from	from a bilingual parallel corpus to be	PART_WHOLE
quality with paraphrases extracted from	extracted from automatic alignments	PART_WHOLE
present a czech-english statistical machine translation system which performs	which performs tree-to-tree translation of dependency	USAGE
compare our system's output with a	with a benchmark system	COMPARE
with a two-step clustering process using sentence	process using sentence co-occurrences as features	USAGE
results on addressee identification in four-participants	identification in four-participants face-to-face meetings using bayesian	USAGE
information the classifiers show little	show little gain from information	RESULT
most state-of-the-art evaluation measures for machine	measures for machine translation assign high	USAGE
a new evaluation measure which explicitly	explicitly models block reordering as an	USAGE
how some evaluation measures can be	introduction of word-dependent substitution costs the measure	RESULT
the new measure with human	measure with human judgment has been	COMPARE
correlation between automatic evaluation measures and human	measures and human judgment	COMPARE
automatically predicting segment boundaries in spoken	boundaries in spoken multiparty dialogue we predicting	PART_WHOLE
of using asr output as opposed	opposed to human transcription examination features	COMPARE
(2) for predicting top-level boundaries the machine	boundaries the machine learning approach that combines	USAGE
that the transcription errors inevitable in	inevitable in asr output have a	MODEL-FEATURE
combination methods are an	of improving system performance this system	RESULT
systems our combination methods rely on	rely on predominant senses which are	USAGE
given an underspecified semantic representation (usr) of a	of a scope ambiguity compute usr	MODEL-FEATURE
research using machine learning techniques to build	build a comma checker to be	USAGE
in a grammar checker for basque	checker for basque after corpus	USAGE
a little corpus of 100,000	of 100,000 words the commas	PART_WHOLE
a bigger corpus written by	one unique author	MODEL-FEATURE
presents an unsupervised learning approach to disambiguate	of various lexical and syntactic features from the	USAGE
that this spectral clustering based approach outperforms the	the other clustering methods	COMPARE
of building polarity-tagged corpus from html	corpus from html documents the html	PART_WHOLE
construct a corpus consisting of	of 126,610 sentences	PART_WHOLE
annotations and scenario templates - can	a standard text browser we prototype	USAGE
in a prototype system designed to	of their industry watch function. we	USAGE
on the interface to make	potential of ie-enhanced text browsers	PART_WHOLE
advances in automatic speech recognition technology have put	naturally sounding dialog systems within reach.	USAGE
issue of system response to users	by the natural language generation community though dialog	TOPIC
research in generation can be	adapted to dialog systems and knowledge-based	USAGE
of hand-crafting knowledge-based generation systems can be	by employing machine learning techniques	USAGE
the tap-xl automated analyst's assistant is an	inflow of multilingual, multimedia data it languages	USAGE
investigates some computational problems associated with	associated with probabilistic translation models that have	MODEL-FEATURE
translation these models can be	pairs of probabilistic context-free grammars working in	MODEL-FEATURE
way. two hardness results for	the class np are reported,	MODEL-FEATURE
automatic evaluation metrics for machine	metrics for machine translation (mt) systems such bleu	USAGE
english-chinese or english-japanese because word	of the word segmentation problem this bleu	MODEL-FEATURE
use of bleu in word	bleu in word n-grams and its	USAGE
use of bleu at the	at the character level eliminates	USAGE
understand the model 's strengths	to other mt systems using visualization	COMPARE
using this visualization method we mt	in an mt system in acl	USAGE
importance to statistical machine translation (smt) but which	by the smt research community over smt	TOPIC
about the computational complexity of some	problems of smt our computational	MODEL-FEATURE
exists a polynomial time solution for any	of these hard problems (unless p	USAGE
a simple mt-based paraphrasing technique and evaluating	and evaluating qa system performance on	USAGE
as a token classification task using tagging	using various tagging strategies to combine	USAGE
called infomagnets infomagnets aims at	at making exploratory corpus analysis accessible to	USAGE
language and behavioral patterns in two	distinct domains: tutorial dialogue (kumar et	PART_WHOLE
as an educational tool it protocol	unit on protocol analysis in an	USAGE
them. the polarization of the	of the elementary structures controls the	USAGE
controls the saturation of the	the final structure this grammar	MODEL-FEATURE
kind of similarity between words	kind of word vectors in the	MODEL-FEATURE
vectors i.e., lsa-based, cooccurrence-based and dictionary-based methods were similarity	kinds of similarity i.e., taxonomic	USAGE
that the dictionary-based word vectors better reflect	better reflect taxonomic similarity while lsa-based	USAGE
while the lsa-based and the cooccurrence-based word vectors better reflect	better reflect associative similarity	USAGE
this paper, events are defined	defined as event terms and associated	MODEL-FEATURE
on the event map constructed from	constructed from documents experimental	USAGE
ferret an interactive question-answering (q/a) system designed to	of integrating automatic q/a applications into	USAGE
approach to q/a known as	known as predictive questioning which attempts	USAGE
structures in abstracts of research	abstracts of research articles in sentences	PART_WHOLE
our approach, sentences in a	a given abstract are analyzed	PART_WHOLE
number of abstracts from the	from the web and building	PART_WHOLE
building a language model of abstract	model of abstract moves we concordancer	MODEL-FEATURE
exploits the move-tagged abstracts for digital	abstracts for digital learning this web-based	USAGE
independently valuable general-purpose nlp components into a	into a machine translation pipeline that capitalizes	PART_WHOLE
san diego, verbs are represented	sets of subpredicates these subpredicates	MODEL-FEATURE
when a verb is used	in a sentence they meaning	PART_WHOLE
on the sentence in which	which the verb is used.	PART_WHOLE
outlines a computational theory of human	theory of human plausible reasoning constructed from	MODEL-FEATURE
logic the theory is expressed	in a content-independent formalism unlike logic	MODEL-FEATURE
formalism unlike logic the theory	logic the theory specifies how	COMPARE
drawn. the theory consists of	of a dimensionalized space of different	PART_WHOLE
of different inference types and their	and their certainty conditions including meta-inference	MODEL-FEATURE
variety of meta-inference types where the	where the inference depends on	MODEL-FEATURE
two nodes path-based inference rules may be	using a binary relational calculus notation node-based inference	USAGE
calculus notation node-based inference allows a	pattern of node structures node-based inference	USAGE
node structures node-based inference rules can be	of a predicate calculus notation path-based inference	USAGE
calculus notation path-based inference is more	efficient, while node-based inference is more	COMPARE
explication of inheritance in hierarchies	inheritance in hierarchies are sketched.	MODEL-FEATURE
commands or rules which are	or some mathematical expressions elaborate	USAGE
use an augmented transition network as a	a procedural dialog model the model	USAGE
use different dialog schemata proposed in	in empirical conversation analysis ; as	TOPIC
for the verbal interactions of task-oriented	interactions of task-oriented dialogs	PART_WHOLE
interpreting metaphors is an	process in human understanding of natural language this method	PART_WHOLE
discusses a method of analyzing metaphors based on	number of generalized metaphor mappings each generalized	USAGE
mappings each generalized metaphor contains a	contains a recognition network a basic	PART_WHOLE
the literal meaning of input	meaning of input from their	MODEL-FEATURE
while such decoding is an	incorporate numerous non-literal aspects of communication such communication	USAGE
of powerful personal computers with integral	with integral graphics displays offers techniques	PART_WHOLE
paper proposes interfaces based on	more traditional natural language interfaces	COMPARE
flexp a bottom-up pattern-matching parser that we	flexibilities for restricted natural language input to	USAGE
to the left corner parsing algorithm for context-free	algorithm for context-free grammars it parser	USAGE
for the parser used in	in a natural language interface	USAGE
prolog a programming language based on	based on logic with logic-based	USAGE
extraposition grammars chat-80 translates english	chat-80 translates english questions into the	USAGE
into the prolog subset of	the prolog subset of logic the logical	PART_WHOLE
prolog cf. query optimisation in a	in a relational database finally, prolog	USAGE
rough drafts conversation transcripts etc., have	significantly from neat texts posing misspelled	COMPARE
use of expectations based surface	knowledge of surface english and on	USAGE
figure out unknown words from context	words from context constrain word-senses	MODEL-FEATURE
the possible word-senses of words	word-senses of words with multiple meanings ( ambiguity	MODEL-FEATURE
fill in missing words ( ellipsis	words ( ellipsis ), and	PART_WHOLE
and resolve referents ( anaphora	referents ( anaphora ). this	PART_WHOLE
of using expectations to aid	understanding of scruffy texts has been	USAGE
describes a natural language system which deals	usefully with ungrammatical input and describes	USAGE
viewpoint. for english-japanese machine translation the syntax	translation the syntax directed approach is effective	USAGE
roles. for japanese-english translation the semantics	translation the semantics directed approach is powerful	USAGE
difference between japanese sentence structure and english	structure and english sentence structure which machine	COMPARE
structure and surface representation of domain	representation of domain entities are grouped	MODEL-FEATURE
use of multiple parsing strategies and recognition	for robust recognition of extra-grammatical input several language	USAGE
with a control structure for an	for an entity-oriented parser some parsing	USAGE
parser some parsing strategies that use	use the control structure and parses	USAGE
parses a parser incorporating the	incorporating the control structure and the	PART_WHOLE
as a proposition with implicit	with implicit fuzzy quantifiers which are	PART_WHOLE
suppressing the fuzzy quantifier most in	in the proposition most birds	PART_WHOLE
representing the meaning of a	of a proposition through the	MODEL-FEATURE
semantics the meaning of a	of a proposition p, reasoning	MODEL-FEATURE
approach to reasoning with dispositions which is	of a fuzzy syllogism syllogistic reasoning	USAGE
fuzzy syllogism syllogistic reasoning with dispositions has an	bearing on commonsense reasoning as well	RESULT
on the management of uncertainty in expert	uncertainty in expert systems as typicality	PART_WHOLE
definition of typicality -- a	role in human cognition and is	RESULT
paul a computer text generation system designed to	use of lexical substitutions specifically, pronominalization	USAGE
choose between pronominalization superordinate substitution	between pronominalization superordinate substitution and noun	COMPARE
strength of antecedence recovery for each	of the lexical substitutions and strength	MODEL-FEATURE
against the strength of potential antecedence of each	the proper substitutions for these	MODEL-FEATURE
conveying the meaning of an	of an utterance but global	MODEL-FEATURE
grasp the global meaning of a	of a sentence even determiners	MODEL-FEATURE
problem with determiners is their	their inherent ambiguity in logical	MODEL-FEATURE
a particular interpretation when their	when their meaning is still	MODEL-FEATURE
system ( rareas ) which	directly from formatted weather data such synthesis	USAGE
in certain natural sublanguages with stereotyped	sublanguages with stereotyped text structure rareas draws	MODEL-FEATURE
text structure rareas draws on	kinds of linguistic and non-linguistic knowledge and mirrors	USAGE
method for error correction of ill-formed	correction of ill-formed input is described	USAGE
expected. a dialogue acquisition and tracking algorithm is presented	in a voice interactive system a error	PART_WHOLE
purpose and processing in discourse	processing in discourse in discourse	RESULT
sequence of utterances (called the	(called the linguistic structure ), a	MODEL-FEATURE
structure of purposes (called the	(called the intentional structure ), and	MODEL-FEATURE
state of focus of attention (called the	(called the attentional state ). the	MODEL-FEATURE
of the discourse into which	which the utterances naturally aggregate.	PART_WHOLE
aggregate. the intentional structure captures the	captures the discourse-relevant purposes expressed linguistic	MODEL-FEATURE
them. the attentional state is an	of the focus of attention of the	MODEL-FEATURE
interruptions the theory of attention, intention, and aggregation of utterances is illustrated	of example discourses various discourse	MODEL-FEATURE
processing of utterances in a	in a discourse discourse processing	PART_WHOLE
how the utterances of the	of the discourse aggregate into	PART_WHOLE
recognizing the intentions expressed in	in the discourse and the	PART_WHOLE
enrichment of human-machine interactions in a	in a natural language environment because speaker	MODEL-FEATURE
because a speaker and listener	speaker and listener cannot be	COMPARE
formalisms : tree adjoining grammars and head	grammars and head grammars we equivalence	COMPARE
the weak equivalence of the	the two formalisms we linguistic	MODEL-FEATURE
comparing the linguistic expressiveness of the	the two formalisms	MODEL-FEATURE
sets of features to describe	to describe linguistic objects although computational	MODEL-FEATURE
descriptions of feature structures can be	regarded as logical formulas and directed	MODEL-FEATURE
in fact, transition graphs for a	type of deterministic finite automaton this semantics	PART_WHOLE
automaton this semantics for feature	semantics for feature structures extends the	MODEL-FEATURE
disjunctions and path values embedded within	embedded within disjunctions our logical	PART_WHOLE
using a logical model in place	of a denotational semantics this logical	COMPARE
semantics this logical model yields a	to simplify formulas unification is	USAGE
of the computational complexity of unification	complexity of unification we consistency	MODEL-FEATURE
that the consistency problem for formulas	problem for formulas with disjunctive	MODEL-FEATURE
sentences in text or text-to-speech	text or text-to-speech form deictic reference	COMPARE
reference and feedback about the	about the discourse are enabled.	MODEL-FEATURE
describe the pronominal anaphora resolution module of lucy	module of lucy a english	PART_WHOLE
implemented a blackboard-like architecture in which	which individual partial theories can be	PART_WHOLE
application of unification categorial grammar (ucg) to the	grammars for machine translation pioneered by	USAGE
developing the grammars of the	of the source and target languages in parallel,	MODEL-FEATURE
ensure that sl and tl	sl and tl expressions which	COMPARE
on the translation relation not textual	levels of textual representation after mt	COMPARE
use of demonstrative expressions in english	expressions in english and discusses	PART_WHOLE
range of texts to show	distribution of demonstrative forms and functions is genre	PART_WHOLE
ccrs are boolean conditions on the	cooccurrence of categories in local	MODEL-FEATURE
leads to syntactic descriptions formulated entirely	entirely with restrictive statements the context	MODEL-FEATURE
analysis of context free languages can be	to the ccr formalism special parser	COMPARE
fulfillment of logical well-formedness conditions on trees	conditions on trees	MODEL-FEATURE
for the presuppositional nature of these	of these sentences	MODEL-FEATURE
developed a computational model of the	a much-studied discourse task first characterized	USAGE
(1974). the model is embodied	a program, apt that organizational	PART_WHOLE
easily identifiable fragments occur in	in the sentence the islands	PART_WHOLE
on the paraphrasing of a	of a parser 's multiple	RESULT
examples of paraphrasing ambiguous sentences	paraphrasing ambiguous sentences are presented.	MODEL-FEATURE
applicable in general domains does not	in the linguistic domain for linguistic	COMPARE
for another, linguistic representation used by	used by language processing systems is not	USAGE
representation the dynamic hierarchical phrasal lexicon (dhpl) [zernik88], to	to facilitate language acquisition from language	USAGE
this, a language learning model was implemented	its own lexical hierarchy by processing	PART_WHOLE
first, how linguistic concepts are acquired	acquired from training examples and organized	MODEL-FEATURE
how a lexical hierarchy is used	predicting new linguistic concepts thus, program	USAGE
of a lexical unknown and hypothesis	and a hypothesis can be	MODEL-FEATURE
although every natural language system needs a	needs a computational lexicon each lexicon	USAGE
complex a computational lexicon designed to	repository of shared lexical information for use	PART_WHOLE
information from machine-readable dictionaries (mrd's) to create	create a broad coverage lexicon	USAGE
role of user modeling in such	in such systems it user	RESULT
that a user model may be	about a user are then	MODEL-FEATURE
for a user model is a	problem in user modeling a user	PART_WHOLE
system called feature structure-directed generation developed dialogue	for a dialogue translation system the typed	USAGE
system utilizes typed feature structures to control	control the top-down derivation in a	USAGE
way. this generation system also uses	also uses disjunctive feature structures to reduce	USAGE
tree the grammar for this	for this generator is designed	USAGE
of the dependency structure of sentences	structure of sentences the dops	MODEL-FEATURE
sentences the dops system extracts preference	from a target document or other	USAGE
analysis of dependency structures of japanese	structures of japanese patent claim sentences	MODEL-FEATURE
of a korean phonological knowledge base system using the	using the unification-based grammar formalism : korean	USAGE
approach of kpsg provides an	a computational phonological system : speech	USAGE
confines of syntax for semantic	task of semantic interpretation or automatic	COMPARE
their associated semantics represented in	in a logical form language or translates	MODEL-FEATURE
to their translates in another	in another natural language ; in	MODEL-FEATURE
to allow tags to be	role in syntax proper we synchronous	USAGE
proposes that sentence analysis should be	treated as defeasible reasoning and japanese	MODEL-FEATURE
treatment for japanese sentence analyses using an	using an argumentation system by konolige,	USAGE
is a formalization of defeasible	formalization of defeasible reasoning that arguments	MODEL-FEATURE
arguments and defeat rules that capture	that capture defeasibility	MODEL-FEATURE
spelling-checkers have become	of most text processing software from dictionaries	PART_WHOLE
based on dictionaries of word forms instead of	instead of words this inflection	COMPARE
with little inflection such as	such as english but highly	MODEL-FEATURE
fails for highly inflective languages such as	such as czech russian slovak	MODEL-FEATURE
of existing spelling-checkers for english	spelling-checkers for english and the	USAGE
of recognized word forms exceeds 6	million (for czech ). further,	PART_WHOLE
to avoid grammar coverage problems we use	use a fully-connected first-order statistical class grammar the speech-search	USAGE
on a board with a	a single intel i860 chip which sun	MODEL-FEATURE
into the vme bus of the	of the sun4 which natural	PART_WHOLE
paradigm for speaker-independent (si) training of hidden	amount of speech from a	USAGE
averaging the statistics of independently	all the speech data from many	COMPARE
only 12 training speakers for si	a 7.5% word error rate on a	RESULT
